City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
656,Lhokseumawe,ID,79.97,overcast clouds,5.18,97.15,OYO 3278 Penginapan Alfajri
657,San Cristobal,VE,75.38,broken clouds,7.77,-72.22,Pirineos
661,San Rafael Del Sur,NI,76.17,overcast clouds,11.85,-86.44,Hospedaje El Chino
663,Santarem,BR,84.33,scattered clouds,-2.44,-54.71,Hotel Imperador
664,Aktau,KZ,70.38,scattered clouds,43.65,51.2,Silk Way Hotel
665,Soria,ES,79.86,clear sky,41.67,-2.67,Casa Rural Sierra de Inodejo
667,Danville,US,74.77,overcast clouds,36.59,-79.39,"Holiday Inn Express Danville, an IHG Hotel"
670,Jiuquan,CN,70.84,clear sky,39.74,98.52,Jiuquan Hotel
671,Kilindoni,TZ,76.64,few clouds,-7.91,39.67,Bustani B&B
678,Glendive,US,74.17,clear sky,47.11,-104.71,Super 8 by Wyndham Glendive
680,Ueckermunde,DE,74.55,clear sky,53.74,14.04,Lagunenstadt Ueckermünde
